id,title,metadata,pdf_url,toc_pdf,abstract_url,image_url
OP29,Caregiving Techniques and Pre-school Children’s Development in Hong Kong Families,"By Fanny M. CHEUNG, Mong-chow LAM and Betsy T. W. CHAU English/23 x 15 cm/paperback/published in June 1990",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP29.pdf,,,
OP28,Mass Media and Politics in Hong Kong,By KUAN Hsin-chi and LAU Siu-kai English/23 x 15 cm/paperback/published in September 1988,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP28.pdf,,,
OP27,"The Effects of Peer Orientation, Parent Orientation, and Schooling Subculture on Leisure Behaviour and Life Satisfaction of Youths in Hong Kong",By Pedro Pak-tao NG and Peter Jic-leung MAN English/23 x 15 cm/paperback/published in July 1988,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP27.pdf,,,
OP26,Basic Law and the New Political System of Hong Kong,By LAU Siu-kai English/23 x 15 cm/paperback/published in June 1988,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP26.pdf,,,
OP25,Leisure Behaviour and Life Satisfaction of Youths in Eastern District,By Pedro Pak-tao NG and Peter Jic-leung MAN English/23 x 15 cm/paperback/published in June 1988,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP25.pdf,,,
OP24,《香港初中中史科和社會科課本裡的性別角色研究》,(Gender Roles as Defined in Current Social Studies Subjects Textbooks at the Junior Secondary Level in Hong Kong) 游黎麗玲、陸鴻基 著 (By Lai-ling LAI YAU and Hung-kay LUK) Chinese/23 x 15 cm/paperback/published in March 1988,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP24.pdf,,,
OP23,The Family Material Possession Index: An Alternative Measurement of Socioeconomic Status in Hong Kong,By Pedro Pak-tao NG English/23 x 15 cm/paperback/published in December 1987,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP23.pdf,,,
OP22,Psychological and Social Characteristics Related to Social Participation among Working-class Housewives in Hong Kong,By Fanny M. CHEUNG and Rhoda YUEN English/23 x 15 cm/paperback/published in October 1987,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP22.pdf,,,
OP21,"A Source Book on Women’s Studies in Hong Kong, 1975–1985",By Fanny M. CHEUNG and PUN Shuk-han English/23 x 15 cm/paperback/published in August 1987,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP21.pdf,,,
OP20,Shifting Journalistic Paradigms: Mass Media and Political Transition in Hong Kong,By Joseph Man CHAN English/23 x 15 cm/paperback/published in August 1987,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP20.pdf,,,
OP19,Decolonization without Independence: The Unfinished Political Reforms of the Hong Kong Government,By LAU Siu-kai English/23 x 15 cm/paperback/published in May 1987,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP19.pdf,,,
OP18,Hong Kong Literature in the Context of Modern Chinese Literature,By WONG Wai-leung English/23 x 15 cm/paperback/published in February 1987,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP18.pdf,,,
OP17,Perception of Political Authority by the Hong Kong Chinese,By LEUNG Sai-wing English/23 x 15 cm/paperback/published in November 1986,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP17.pdf,,,
OP16,Chinese Bureaucrats in a Modern Colony: The Case of Hong Kong,By LAU Siu-kai and KUAN Hsin-chi English/23 x 15 cm/paperback/published in September 1986,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP16.pdf,,,
OP15,Public Opinion and Media Use in Hong Kong: The ‘1997’ Question,By L. Erwin ATWOOD and Philip H. CHENG English/23 x 15 cm/paperback/published in August 1986,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP15.pdf,,,
OP14,Caretaking Forms and Styles in Urban Hong Kong: A Pilot Study on Three-year-old Children,"By Fanny M. CHEUNG, Betsy T. W. CHAU and Mong-chow LAM English/23 x 15 cm/paperback/published in August 1986",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP14.pdf,,,
OP13,Recent Trends in Work and Leisure in Hong Kong and Higher Education’s Response,By Pedro Pak-tao NG English/23 x 15 cm/paperback/published in April 1986,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP13.pdf,,,
OP12,The Chinese Minnesota Multiphasic Personality Inventory (MMPI): Research and Applications,Edited by Fanny M. CHEUNG English/23 x 15 cm/paperback/published in April 1986,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP12.pdf,,,
OP11,Filipina Domestic Workers in Hongkong: A Preliminary Survey,By Carolyn FRENCH English/23 x 15 cm/paperback/published in March 1986,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP11.pdf,,,
OP10,Women’s Work and the Demand for Children in Hong Kong,By Yue-chim WONG English/23 x 15 cm/paperback/published in December 1985,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP10.pdf,,,
OP9,Hong Kong after the Sino-British Agreement: Limits to Institutional Change in a Dependent Polity,By LAU Siu-kai and KUAN Hsin-chi English/23 x 15 cm/paperback/published in September 1985,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP9.pdf,,,
OP8,The 1985 District Board Election in Hong Kong: The Limits of Political Mobilization in a Dependent Polity,By LAU Siu-kai and KUAN Hsin-chi English/23 x 15 cm/paperback/published in July 1985,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP8.pdf,,,
OP7,Problem Behavior of Adolescents in Hong Kong: A Socio-cultural Perspective,By MOK Bong-ho English/23 x 15 cm/paperback/published in March 1985,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP7.pdf,,,
OP6,Local-level Election Behavior in an Urban Area,By Janet L. SCOTT English/23 x 15 cm/paperback/published in January 1985,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP6.pdf,,,
OP5,An Analysis of the Self-esteem of Adolescents in Hong Kong: Configurations and Determinants,By CHEUNG Tak-shing and TAM Shuk-yee English/23 x 15 cm/paperback/published in September 1984,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP5.pdf,,,
OP4,Socio-demographic Patterns of Leisure Behaviour of Adolescents in Hong Kong,By Pedro Pak-tao NG English/23 x 15 cm/paperback/published in August 1984,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP4.pdf,,,
OP3,The District Board Elections in Hong Kong,By LAU Siu-kai and KUAN Hsin-chi English/23 x 15 cm/paperback/published in December 1983,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP3.pdf,,,
OP2,Organizing Participatory Urban Services: The Mutual Aid Committees in Hong Kong,"By KUAN Hsin-chi, LAU Siu-kai and HO Kam-fai English/23 x 15 cm/paperback/published in November 1983",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP2.pdf,,,
OP1,"Leaders, Officials, and Citizens in Urban Service Delivery: A Comparative Study of Four Localities in Hong Kong","By LAU Siu-kai, KUAN Hsin-chi and HO Kam-fai English/23 x 15 cm/paperback/published in August 1983",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/CHKS_OP1.pdf,,,
