id,title,metadata,pdf_url,toc_pdf,abstract_url,image_url
RM118,潮汕人與一帶一路：金融教育領軍人,"(The Chaoshan People: Leading Education and Finance in the Belt and Road Regions)
鄭宏泰、高佩璇編
(Edited by Victor ZHENG and Pui-shuen KO)
Chinese/21.5 x 14 cm/paperback/x + 231 pages/
published in August 2025
ISBN 978-962-441-618-3; listed price: US$13.40 (HK$89.00)",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/08/RM118.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/08/RM118_TOC.pdf,https://www.hkiaps.cuhk.edu.hk/%e6%bd%ae%e6%b1%95%e4%ba%ba%e8%88%87%e4%b8%80%e5%b8%b6%e4%b8%80%e8%b7%af%ef%bc%9a%e9%87%91%e8%9e%8d%e6%95%99%e8%82%b2%e9%a0%98%e8%bb%8d%e4%ba%ba,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/08/RM118.png
PRR09,做強香港文化產業：軟實力的視角,"(Strengthening the Cultural Industry in Hong Kong: A Soft Power Perspective)
By Victor ZHENG, Hua GUO and Pui-shuen KO
Chinese/21.5 x 14 cm/paperback/41 + vii pages/published in April 2025
ISBN 978-962-441-829-5",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/04/PRR09.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/04/PRR09-TOC.pdf,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/04/PRR09.png
PRR08,做強香港家族辦公室業務：歷史、社會與文化的研究,"(Strengthening Family Office Business in Hong Kong: A Socio-historical and Cultural Study)
By Victor ZHENG, Hua GUO and Pui-shuen KO
Chinese/21.5 x 14 cm/paperback/41 + vii pages/published in April 2025
ISBN 978-962-441-828-6",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/04/PRR08.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/04/PRR08-TOC.pdf,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/04/PRR08.png
RM117,《潮領香江》,"(Eminent Chaozhou Residents of Hong Kong )
鄭宏泰、高佩璇編
(Edited by Victor ZHENG and Pui-shuen KO)
Chinese/21.5 x 14 cm/paperback/xxii + 214 pages/published in November 2024
ISBN 978-962-441-617-6",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/12/RM117.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/12/RM117-TOC.pdf,https://www.hkiaps.cuhk.edu.hk/%e3%80%8a%e6%bd%ae%e9%a0%98%e9%a6%99%e6%b1%9f%e3%80%8b,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/12/RM117.png
RM116,Building a Sustainable Healthcare System for Hong Kong,"Edited by Anthony Y. H. FUNG and Ben Y. F. FONG
English/21.5 x 14 cm/paperback/xviii +294 pages/published in November 2024
ISBN 978-962-441-616-9; listed price: US$20.70 (HK$138.00)",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/12/RM116.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/12/RM116-TOC.pdf,https://www.hkiaps.cuhk.edu.hk/building-a-sustainable-healthcare-system-for-hong-kong-2,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/12/RM116.png
PRR07,Building a Sustainable Healthcare System for Hong Kong,"Edited by Anthony Y. H. FUNG and Ben Y. F. FONG
English/21.5 x 14 cm/paperback/62 + xi pages/ 2nd edition published in July 2025
ISBN 978-962-441-827-9",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/07/PRR07.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/07/PRR07-TOC.pdf,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/07/PPR07-scaled.png
RM115,《潮汕人與一帶一路：商業貿易的開拓》,"(The Chaoshan People: Opening Up
Trade in the Belt and Road Regions)
鄭宏泰、高佩璇編
(Edited by Victor ZHENG and Pui-shuen KO)
Chinese/21.5 x 14 cm/paperback/viii + 238 pages/
published in January 2024
ISBN 978-962-441-615-2; listed price: US$13.40 (HK$89.00)",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/03/RM115.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/03/RM115-TOC.pdf,https://www.hkiaps.cuhk.edu.hk/%e3%80%8a%e6%bd%ae%e6%b1%95%e4%ba%ba%e8%88%87%e4%b8%80%e5%b8%b6%e4%b8%80%e8%b7%af%ef%bc%9a%e5%95%86%e6%a5%ad%e8%b2%bf%e6%98%93%e7%9a%84%e9%96%8b%e6%8b%93%e3%80%8b,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/12/RM115.png
PRR06,全球潮人與一帶一路學術政策國際論壇：論壇背景、紀要與政策建議,"(Report on International Forum on Global Chaozhou People and the Belt and Road Initiative: Background, Documentary, and Policy Recommendation)
By Federation of Hong Kong Shantou Community Organizations and Hong Kong Institute of Asia-Pacific Studies, The Chinese University of Hong Kong
Chinese/21.0 x 29.7 cm/paperback/58 pages/published in May 2025
ISBN 978-962-441-826-2",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/05/PRR06.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/05/PRR06-TOC.pdf,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2025/08/PRR06-scaled.png
RM114,《放寬香港視野：美國國家安全法研究》,"(A Broader Perspective for Hong Kong: A Study of U.S. National Security Law)
江照信
(Zhaoxin JIANG)
Chinese/21.5 x 14 cm/paperback/xviii + 185 pages/
published in August 2023
ISBN 978-962-441-614-5; listed price: US$14.70 (HK$98.00)",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/09/RM114.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/09/RM114-TOC.pdf,https://www.hkiaps.cuhk.edu.hk/%e3%80%8a%e6%94%be%e5%af%ac%e9%a6%99%e6%b8%af%e8%a6%96%e9%87%8e%ef%bc%9a%e7%be%8e%e5%9c%8b%e5%9c%8b%e5%ae%b6%e5%ae%89%e5%85%a8%e6%b3%95%e7%a0%94%e7%a9%b6%e3%80%8b,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/RM114.jpg
PRR05,香港青年社會流動研究：住戶統計調查的分析,"(The Social Mobility of Young People in Hong Kong: An Analysis Based on Household Surveys)
By Victor ZHENG, Hua GUO and Kevin T. W. WONG
Chinese/21.0 x 29.7 cm/paperback/108 + vii pages/published in August 2023
ISBN 978-962-441-825-5",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/08/policy_research_report_05.pdf,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/08/PRR05-TOC.pdf,,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2024/01/PRR05-scaled.jpg
