id,title,metadata,pdf_url,toc_pdf,abstract_url,image_url
OP98,"Social Change, Bureaucratic Rule, and Emergent Political Issues in Hong Kong",By LAU Siu-kai English/28 x 21 cm/paperback/published in March 1982,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP98.pdf,,,
OP97,Local Administrative Reform in Hong Kong: Promises and Limitations,By LAU Siu-kai English/28 x 21 cm/paperback/published in November 1981,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP97.pdf,,,
OP96,The Impact of Interviewer Language and Ethnicity on the Perceptions of Chinese Bilinguals,By Herbert D. PIERSON and Michael H. BOND English/28 x 21 cm/paperback/published in September 1981,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP96.pdf,,,
OP95,Aggressive Behavior in Chinese Society: The Problem of Maintaining Order and Harmony,By Michael H. BOND and WANG Sung-hsing English/28 x 21 cm/paperback/published in April 1981,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP95.pdf,,,
OP94,A Pilot Study on the Victims of Motor-cycle Accidents: An Epidemiological Approach,By B. T. W. LO CHAU and P. C. LEUNG English/28 x 21 cm/paperback/published in October 1980,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP94.pdf,,,
OP93,"The Government, Intermediate Organizations and Grass-roots Politics in Hong Kong",By LAU Siu-kai English/28 x 21 cm/paperback/published in August 1980,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP93.pdf,,,
OP92,Evaluating the Effectiveness of the Activity Approach in the Lower Primary Grades in Hong Kong,By Benjamin Y. CHAN English/28 x 21 cm/paperback/published in May 1980,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP92.pdf,,,
OP91,An Analysis of the Relationship between Language Attitudes and English Attainment of Secondary Students in Hong Kong,"By Herbert D. PIERSON, Gail S. FU and Sik-yum LEE English/28 x 21 cm/paperback/published in May 1980",https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP91.pdf,,,
OP90,"Development, Colonial Rule, and Intergroup Politics in a Chinese Village in Hong Kong",By CHAU Lam-yan and LAU Siu-kai English/28 x 21 cm/paperback/published in May 1980,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP90.pdf,,,
OP89,Social Accommodation of Politics: The Case of the Young Hong Kong Workers,By LAU Siu-kai and HO Kam-fai English/28 x 21 cm/paperback/published in January 1980,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP89.pdf,,,
OP88,Planned Development and Political Adaptability in Rural Hong Kong,By KUAN Hsin-chi and LAU Siu-kai English/28 x 21 cm/paperback/published in January 1980,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP88.pdf,,,
OP87,A Technique to Study the Effect of TV Violence on Behavior in Rhesus Monkeys,By King-leung KONG English/28 x 21 cm/paperback/published in December 1979,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP87.pdf,,,
OP86,The Feasibility of Contributory Social Security Schemes in Hong Kong: A Study of Employers’ and Employees’ Opinions,By Nelson W. S. CHOW English/28 x 21 cm/paperback/published in October 1979,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP86.pdf,,,
OP85,Community Programme Evaluation: A Study of the Demand and Existing Practice of Evaluation in the Summer Youth Programme in Hong Kong,By Bong-ho MOK English/28 x 21 cm/paperback/published in October 1979,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP85.pdf,,,
OP84,Commune Education and Rural Development in China,By Pedro Pak-tao NG English/28 x 21 cm/paperback/published in August 1979,https://www.hkiaps.cuhk.edu.hk/wp-content/uploads/2023/06/SRC_OP84.pdf,,,
